2021-04-20 10:37:38 status unpacked libc-bin:amd64 2.33-0ubuntu5
2021-04-20 10:37:38 upgrade libc6:amd64 2.33-0ubuntu5 2.33-0ubuntu5
2021-04-20 10:37:38 status half-configured libc6:amd64 2.33-0ubuntu5
2021-04-20 10:37:38 status unpacked libc6:amd64 2.33-0ubuntu5
2021-04-20 10:37:38 status half-installed libc6:amd64 2.33-0ubuntu5
2021-04-20 10:37:38 status unpacked libc6:amd64 2.33-0ubuntu5
2021-04-20 10:37:39 install libcap-ng0:amd64 <none> 0.7.9-2.2build1
2021-04-20 10:37:39 status half-installed libcap-ng0:amd64 0.7.9-2.2build1
2021-04-20 10:37:39 status unpacked libcap-ng0:amd64 0.7.9-2.2build1
2021-04-20 10:37:39 install libcap2:amd64 <none> 1:2.44-1build1
2021-04-20 10:37:39 status half-installed libcap2:amd64 1:2.44-1build1
2021-04-20 10:37:39 status unpacked libcap2:amd64 1:2.44-1build1
2021-04-20 10:37:39 install libcom-err2:amd64 <none> 1.45.7-1ubuntu2
2021-04-20 10:37:39 status half-installed libcom-err2:amd64 1.45.7-1ubuntu2
2021-04-20 10:37:39 status unpacked libcom-err2:amd64 1.45.7-1ubuntu2
2021-04-20 10:37:39 install libcrypt1:amd64 <none> 1:4.4.17-1ubuntu3
2021-04-20 10:37:39 status half-installed libcrypt1:amd64 1:4.4.17-1ubuntu3
2021-04-20 10:37:39 status unpacked libcrypt1:amd64 1:4.4.17-1ubuntu3
2021-04-20 10:37:39 install libdb5.3:amd64 <none> 5.3.28+dfsg1-0.6ubuntu4
2021-04-20 10:37:39 status half-installed libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu4
2021-04-20 10:37:39 status unpacked libdb5.3:amd64 5.3.28+dfsg1-0.6ubuntu4
2021-04-20 10:37:39 install libdebconfclient0:amd64 <none> 0.256ubuntu3
2021-04-20 10:37:39 status half-installed libdebconfclient0:amd64 0.256ubuntu3
2021-04-20 10:37:39 status unpacked libdebconfclient0:amd64 0.256ubuntu3
2021-04-20 10:37:39 install libext2fs2:amd64 <none> 1.45.7-1ubuntu2
2021-04-20 10:37:39 status half-installed libext2fs2:amd64 1.45.7-1ubuntu2
2021-04-20 10:37:39 status unpacked libext2fs2:amd64 1.45.7-1ubuntu2
2021-04-20 10:37:39 install libgcc-s1:amd64 <none> 11-20210417-1ubuntu1
2021-04-20 10:37:39 status half-installed libgcc-s1:amd64 11-20210417-1ubuntu1
2021-04-20 10:37:39 status unpacked libgcc-s1:amd64 11-20210417-1ubuntu1
2021-04-20 10:37:39 install libgcrypt20:amd64 <none> 1.8.7-2ubuntu2
2021-04-20 10:37:39 status half-installed libgcrypt20:amd64 1.8.7-2ubuntu2
2021-04-20 10:37:39 status unpacked libgcrypt20:amd64 1.8.7-2ubuntu2
2021-04-20 10:37:39 install libgmp10:amd64 <none> 2:6.2.1+dfsg-1ubuntu2
2021-04-20 10:37:39 status half-installed libgmp10:amd64 2:6.2.1+dfsg-1ubuntu2
2021-04-20 10:37:39 status unpacked libgmp10:amd64 2:6.2.1+dfsg-1ubuntu2
2021-04-20 10:37:39 install libgpg-error0:amd64 <none> 1.38-2build1
2021-04-20 10:37:39 status half-installed libgpg-error0:amd64 1.38-2build1
2021-04-20 10:37:39 status unpacked libgpg-error0:amd64 1.38-2build1
2021-04-20 10:37:39 install liblz4-1:amd64 <none> 1.9.3-1build1
2021-04-20 10:37:39 status half-installed liblz4-1:amd64 1.9.3-1build1
2021-04-20 10:37:39 status unpacked liblz4-1:amd64 1.9.3-1build1
2021-04-20 10:37:39 install liblzma5:amd64 <none> 5.2.5-1.0build2
2021-04-20 10:37:39 status half-installed liblzma5:amd64 5.2.5-1.0build2
2021-04-20 10:37:39 status unpacked liblzma5:amd64 5.2.5-1.0build2
2021-04-20 10:37:39 install libmount1:amd64 <none> 2.36.1-7ubuntu2
2021-04-20 10:37:39 status half-installed libmount1:amd64 2.36.1-7ubuntu2
2021-04-20 10:37:39 status unpacked libmount1:amd64 2.36.1-7ubuntu2
2021-04-20 10:37:39 install libncurses6:amd64 <none> 6.2+20201114-2build1
2021-04-20 10:37:39 status half-installed libncurses6:amd64 6.2+20201114-2build1
2021-04-20 10:37:39 status unpacked libncurses6:amd64 6.2+20201114-2build1
2021-04-20 10:37:39 install libncursesw6:amd64 <none> 6.2+20201114-2build1
2021-04-20 10:37:39 status half-installed libncursesw6:amd64 6.2+20201114-2build1
2021-04-20 10:37:39 status unpacked libncursesw6:amd64 6.2+20201114-2build1
2021-04-20 10:37:39 install libpam-modules:amd64 <none> 1.3.1-5ubuntu6
2021-04-20 10:37:39 status half-installed libpam-modules:amd64 1.3.1-5ubuntu6
2021-04-20 10:37:40 status unpacked libpam-modules:amd64 1.3.1-5ubuntu6
2021-04-20 10:37:40 install libpam-modules-bin:amd64 <none> 1.3.1-5ubuntu6
2021-04-20 10:37:40 status half-installed libpam-modules-bin:amd64 1.3.1-5ubuntu6
2021-04-20 10:37:40 status unpacked libpam-modules-bin:amd64 1.3.1-5ubuntu6
2021-04-20 10:37:40 install libpam-runtime:all <none> 1.3.1-5ubuntu6
2021-04-20 10:37:40 status half-installed libpam-runtime:all 1.3.1-5ubuntu6
2021-04-20 10:37:40 status unpacked libpam-runtime:all 1.3.1-5ubuntu6
2021-04-20 10:37:40 install libpam0g:amd64 <none> 1.3.1-5ubuntu6
2021-04-20 10:37:40 status half-installed libpam0g:amd64 1.3.1-5ubuntu6
2021-04-20 10:37:40 status unpacked libpam0g:amd64 1.3.1-5ubuntu6
2021-04-20 10:37:40 install libpcre2-8-0:amd64 <none> 10.36-2ubuntu5
2021-04-20 10:37:40 status half-installed libpcre2-8-0:amd64 10.36-2ubuntu5
2021-04-20 10:37:40 status unpacked libpcre2-8-0:amd64 10.36-2ubuntu5
2021-04-20 10:37:40 install libpcre3:amd64 <none> 2:8.39-13build3
2021-04-20 10:37:40 status half-installed libpcre3:amd64 2:8.39-13build3
2021-04-20 10:37:40 status unpacked libpcre3:amd64 2:8.39-13build3
2021-04-20 10:37:40 install libprocps8:amd64 <none> 2:3.3.16-5ubuntu3
2021-04-20 10:37:40 status half-installed libprocps8:amd64 2:3.3.16-5ubuntu3
2021-04-20 10:37:40 status unpacked libprocps8:amd64 2:3.3.16-5ubuntu3
2021-04-20 10:37:40 install libselinux1:amd64 <none> 3.1-3build1
2021-04-20 10:37:40 status half-installed libselinux1:amd64 3.1-3build1
2021-04-20 10:37:40 status unpacked libselinux1:amd64 3.1-3build1
2021-04-20 10:37:40 install libsemanage-common:all <none> 3.1-1ubuntu1
2021-04-20 10:37:40 status half-installed libsemanage-common:all 3.1-1ubuntu1
2021-04-20 10:37:40 status unpacked libsemanage-common:all 3.1-1ubuntu1
2021-04-20 10:37:40 install libsemanage1:amd64 <none> 3.1-1ubuntu1
2021-04-20 10:37:40 status half-installed libsemanage1:amd64 3.1-1ubuntu1
2021-04-20 10:37:40 status unpacked libsemanage1:amd64 3.1-1ubuntu1
2021-04-20 10:37:40 install libsepol1:amd64 <none> 3.1-1ubuntu1
2021-04-20 10:37:40 status half-installed libsepol1:amd64 3.1-1ubuntu1
2021-04-20 10:37:40 status unpacked libsepol1:amd64 3.1-1ubuntu1
2021-04-20 10:37:40 install libsmartcols1:amd64 <none> 2.36.1-7ubuntu2
2021-04-20 10:37:40 status half-installed libsmartcols1:amd64 2.36.1-7ubuntu2
2021-04-20 10:37:40 status unpacked libsmartcols1:amd64 2.36.1-7ubuntu2
2021-04-20 10:37:40 install libss2:amd64 <none> 1.45.7-1ubuntu2
2021-04-20 10:37:40 status half-installed libss2:amd64 1.45.7-1ubuntu2
2021-04-20 10:37:40 status unpacked libss2:amd64 1.45.7-1ubuntu2
2021-04-20 10:37:40 install libsystemd0:amd64 <none> 247.3-3ubuntu3
2021-04-20 10:37:40 status half-installed libsystemd0:amd64 247.3-3ubuntu3
2021-04-20 10:37:40 status unpacked libsystemd0:amd64 247.3-3ubuntu3
2021-04-20 10:37:40 install libtinfo6:amd64 <none> 6.2+20201114-2build1
2021-04-20 10:37:40 status half-installed libtinfo6:amd64 6.2+20201114-2build1
2021-04-20 10:37:40 status unpacked libtinfo6:amd64 6.2+20201114-2build1
2021-04-20 10:37:40 install libudev1:amd64 <none> 247.3-3ubuntu3
2021-04-20 10:37:40 status half-installed libudev1:amd64 247.3-3ubuntu3
2021-04-20 10:37:40 status unpacked libudev1:amd64 247.3-3ubuntu3
2021-04-20 10:37:40 install libuuid1:amd64 <none> 2.36.1-7ubuntu2
2021-04-20 10:37:40 status half-installed libuuid1:amd64 2.36.1-7ubuntu2
2021-04-20 10:37:40 status unpacked libuuid1:amd64 2.36.1-7ubuntu2
2021-04-20 10:37:40 install libzstd1:amd64 <none> 1.4.8+dfsg-2build2
2021-04-20 10:37:40 status half-installed libzstd1:amd64 1.4.8+dfsg-2build2
2021-04-20 10:37:40 status unpacked libzstd1:amd64 1.4.8+dfsg-2build2
2021-04-20 10:37:40 install login:amd64 <none> 1:4.8.1-1ubuntu8
2021-04-20 10:37:40 status half-installed login:amd64 1:4.8.1-1ubuntu8
2021-04-20 10:37:40 status unpacked login:amd64 1:4.8.1-1ubuntu8
2021-04-20 10:37:40 install logsave:amd64 <none> 1.45.7-1ubuntu2
2021-04-20 10:37:40 status half-installed logsave:amd64 1.45.7-1ubuntu2
2021-04-20 10:37:40 status unpacked logsave:amd64 1.45.7-1ubuntu2
2021-04-20 10:37:40 install lsb-base:all <none> 11.1.0ubuntu2
2021-04-20 10:37:40 status half-installed lsb-base:all 11.1.0ubuntu2
2021-04-20 10:37:40 status unpacked lsb-base:all 11.1.0ubuntu2
2021-04-20 10:37:40 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2021-04-20 10:37:40 status half-configured mawk:amd64 1.3.4.20200120-2
2021-04-20 10:37:40 status unpacked mawk:amd64 1.3.4.20200120-2
2021-04-20 10:37:40 status half-installed mawk:amd64 1.3.4.20200120-2
2021-04-20 10:37:40 status unpacked mawk:amd64 1.3.4.20200120-2
2021-04-20 10:37:40 install mount:amd64 <none> 2.36.1-7ubuntu2
2021-04-20 10:37:40 status half-installed mount:amd64 2.36.1-7ubuntu2
2021-04-20 10:37:41 status unpacked mount:amd64 2.36.1-7ubuntu2
2021-04-20 10:37:41 install ncurses-base:all <none> 6.2+20201114-2build1
2021-04-20 10:37:41 status half-installed ncurses-base:all 6.2+20201114-2build1
2021-04-20 10:37:41 status unpacked ncurses-base:all 6.2+20201114-2build1
2021-04-20 10:37:41 install ncurses-bin:amd64 <none> 6.2+20201114-2build1
2021-04-20 10:37:41 status half-installed ncurses-bin:amd64 6.2+20201114-2build1
2021-04-20 10:37:41 status unpacked ncurses-bin:amd64 6.2+20201114-2build1
2021-04-20 10:37:41 install passwd:amd64 <none> 1:4.8.1-1ubuntu8
2021-04-20 10:37:41 status half-installed passwd:amd64 1:4.8.1-1ubuntu8
2021-04-20 10:37:41 status unpacked passwd:amd64 1:4.8.1-1ubuntu8
2021-04-20 10:37:41 upgrade perl-base:amd64 5.32.1-3ubuntu2 5.32.1-3ubuntu2
2021-04-20 10:37:41 status half-configured perl-base:amd64 5.32.1-3ubuntu2
2021-04-20 10:37:41 status unpacked perl-base:amd64 5.32.1-3ubuntu2
2021-04-20 10:37:41 status half-installed perl-base:amd64 5.32.1-3ubuntu2
2021-04-20 10:37:41 status unpacked perl-base:amd64 5.32.1-3ubuntu2
2021-04-20 10:37:41 install procps:amd64 <none> 2:3.3.16-5ubuntu3
2021-04-20 10:37:41 status half-installed procps:amd64 2:3.3.16-5ubuntu3
2021-04-20 10:37:41 status unpacked procps:amd64 2:3.3.16-5ubuntu3
2021-04-20 10:37:41 install sed:amd64 <none> 4.7-1ubuntu1
2021-04-20 10:37:41 status half-installed sed:amd64 4.7-1ubuntu1
2021-04-20 10:37:41 status unpacked sed:amd64 4.7-1ubuntu1
2021-04-20 10:37:41 install sensible-utils:all <none> 0.0.14
2021-04-20 10:37:41 status half-installed sensible-utils:all 0.0.14
2021-04-20 10:37:41 status unpacked sensible-utils:all 0.0.14
2021-04-20 10:37:41 install sysvinit-utils:amd64 <none> 2.96-6ubuntu1
2021-04-20 10:37:41 status half-installed sysvinit-utils:amd64 2.96-6ubuntu1
2021-04-20 10:37:41 status unpacked sysvinit-utils:amd64 2.96-6ubuntu1
2021-04-20 10:37:41 install tar:amd64 <none> 1.34+dfsg-1build1
2021-04-20 10:37:41 status half-installed tar:amd64 1.34+dfsg-1build1
2021-04-20 10:37:42 status unpacked tar:amd64 1.34+dfsg-1build1
2021-04-20 10:37:42 install usrmerge:all <none> 24ubuntu3
2021-04-20 10:37:42 status half-installed usrmerge:all 24ubuntu3
2021-04-20 10:37:42 status unpacked usrmerge:all 24ubuntu3
2021-04-20 10:37:42 install util-linux:amd64 <none> 2.36.1-7ubuntu2
2021-04-20 10:37:42 status half-installed util-linux:amd64 2.36.1-7ubuntu2
2021-04-20 10:37:42 status unpacked util-linux:amd64 2.36.1-7ubuntu2
2021-04-20 10:37:42 install zlib1g:amd64 <none> 1:1.2.11.dfsg-2ubuntu6
2021-04-20 10:37:42 status half-installed zlib1g:amd64 1:1.2.11.dfsg-2ubuntu6
2021-04-20 10:37:42 status unpacked zlib1g:amd64 1:1.2.11.dfsg-2ubuntu6
2021-04-20 10:37:42 startup packages configure
2021-04-20 10:37:42 configure gcc-11-base:amd64 11-20210417-1ubuntu1 <none>
2021-04-20 10:37:42 status unpacked gcc-11-base:amd64 11-20210417-1ubuntu1
2021-04-20 10:37:42 status half-configured gcc-11-base:amd64 11-20210417-1ubuntu1
2021-04-20 10:37:42 status installed gcc-11-base:amd64 11-20210417-1ubuntu1
2021-04-20 10:37:42 configure lsb-base:all 11.1.0ubuntu2 <none>
2021-04-20 10:37:42 status unpacked lsb-base:all 11.1.0ubuntu2
2021-04-20 10:37:42 status half-configured lsb-base:all 11.1.0ubuntu2
2021-04-20 10:37:42 status installed lsb-base:all 11.1.0ubuntu2
2021-04-20 10:37:42 configure libaudit-common:all 1:3.0-2ubuntu1 <none>
2021-04-20 10:37:42 status unpacked libaudit-common:all 1:3.0-2ubuntu1
2021-04-20 10:37:42 status half-configured libaudit-common:all 1:3.0-2ubuntu1
2021-04-20 10:37:42 status installed libaudit-common:all 1:3.0-2ubuntu1
2021-04-20 10:37:42 configure libsemanage-common:all 3.1-1ubuntu1 <none>
2021-04-20 10:37:42 status unpacked libsemanage-common:all 3.1-1ubuntu1
2021-04-20 10:37:42 status half-configured libsemanage-common:all 3.1-1ubuntu1
2021-04-20 10:37:42 status installed libsemanage-common:all 3.1-1ubuntu1
2021-04-20 10:37:42 configure ncurses-base:all 6.2+20201114-2build1 <none>
2021-04-20 10:37:42 status unpacked ncurses-base:all 6.2+20201114-2build1
2021-04-20 10:37:42 status half-configured ncurses-base:all 6.2+20201114-2build1
2021-04-20 10:37:42 status installed ncurses-base:all 6.2+20201114-2build1
2021-04-20 10:37:42 configure sensible-utils:all 0.0.14 <none>
2021-04-20 10:37:42 status unpacked sensible-utils:all 0.0.14
2021-04-20 10:37:42 status half-configured sensible-utils:all 0.0.14
2021-04-20 10:37:42 status installed sensible-utils:all 0.0.14
2021-04-20 10:37:42 configure libcrypt1:amd64 1:4.4.17-1ubuntu3 <none>
2021-04-20 10:37:42 status unpacked libcrypt1:amd64 1:4.4.17-1ubuntu3
2021-04-20 10:37:42 status half-configured libcrypt1:amd64 1:4.4.17-1ubuntu3
2021-04-20 10:37:42 status installed libcrypt1:amd64 1:4.4.17-1ubuntu3
2021-04-20 10:37:42 configure libgcc-s1:amd64 11-20210417-1ubuntu1 <none>
2021-04-20 10:37:42 status unpacked libgcc-s1:amd64 11-20210417-1ubuntu1
2021-04-20 10:37:42 status half-configured libgcc-s1:amd64 11-20210417-1ubuntu1
2021-04-20 10:37:42 status installed libgcc-s1:amd64 11-20210417-1ubuntu1
2021-04-20 10:37:42 configure libc6:amd64 2.33-0ubuntu5 <none>
2021-04-20 10:37:42 status unpacked libc6:amd64 2.33-0ubuntu5
2021-04-20 10:37:42 status half-configured libc6:amd64 2.33-0ubuntu5
2021-04-20 10:37:42 status installed libc6:amd64 2.33-0ubuntu5
2021-04-20 10:37:42 configure libudev1:amd64 247.3-3ubuntu3 <none>
2021-04-20 10:37:42 status unpacked libudev1:amd64 247.3-3ubuntu3
2021-04-20 10:37:42 status half-configured libudev1:amd64 247.3-3ubuntu3
2021-04-20 10:37:42 status installed libudev1:amd64 247.3-3ubuntu3
2021-04-20 10:37:42 configure libsepol1:amd64 3.1-1ubuntu1 <none>
2021-04-20 10:37:42 status unpacked libsepol1:amd64 3.1-1ubuntu1
2021-04-20 10:37:42 status half-configured libsepol1:amd64 3.1-1ubuntu1
2021-04-20 10:37:42 status installed libsepol1:amd64 3.1-1ubuntu1
2021-04-20 10:37:42 configure libattr1:amd64 1:2.4.48-6build1 <none>
2021-04-20 10:37:42 status unpacked libattr1:amd64 1:2.4.48-6build1
2021-04-20 10:37:42 status half-configured libattr1:amd64 1:2.4.48-6build1
2021-04-20 10:37:42 status installed libattr1:amd64 1:2.4.48-6build1
2021-04-20 10:37:42 configure sysvinit-utils:amd64 2.96-6ubuntu1 <none>
2021-04-20 10:37:42 status unpacked sysvinit-utils:amd64 2.96-6ubuntu1
2021-04-20 10:37:42 status half-configured sysvinit-utils:amd64 2.96-6ubuntu1
2021-04-20 10:37:42 status installed sysvinit-utils:amd64 2.96-6ubuntu1
2021-04-20 10:37:42 configure debianutils:amd64 4.11.2 <none>
2021-04-20 10:37:42 status unpacked debianutils:amd64 4.11.2
2021-04-20 10:37:42 status half-configured debianutils:amd64 4.11.2
2021-04-20 10:37:42 status installed debianutils:amd64 4.11.2
2021-04-20 10:37:42 configure mawk:amd64 1.3.4.20200120-2 <none>
2021-04-20 10:37:42 status unpacked mawk:amd64 1.3.4.20200120-2
2021-04-20 10:37:42 status half-configured mawk:amd64 1.3.4.20200120-2
2021-04-20 10:37:42 status installed mawk:amd64 1.3.4.20200120-2
2021-04-20 10:37:42 configure libdebconfclient0:amd64 0.256ubuntu3 <none>
